Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,790,988,20,На складе
PHP и MySQL. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,907,1134,20,На складе
Программирование для Android,Колисниченко Денис Николаевич,BHV:Самоучитель,593,741,20,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1724,2155,20,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1392,1740,20,На складе
Site Reliability Workbook. Практическое применение,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2228,2785,20,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,734,917,20,На складе
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,922,1152,20,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1632,2040,20,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2477,3096,20,На складе
Kotlin. Программирование на примерах,Аделекан Ияну,BHV,1089,1361,20,На складе
"Взлом. Приемы, трюки и секреты хакеров",Комиссаров Иван aLLy и др.,BHV:Библиотека журнала «Хакер»,668,835,20,На складе
HTML и CSS. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,851,1064,20,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1478,1848,20,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2368,2960,20,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,3593,4491,20,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1386,1733,20,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,3458,4322,20,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1550,1937,20,На складе
Основы программирования,Окулов Станислав Михайлович,Лаборатория знаний:Развитие интеллекта школьников,606,758,20,На складе
Введение в машинное обучение с помощью Python. Руководство для специалистов по работе с данными,"Мюллер Адреас П., Гвидо Сара",Вильямс,4149,5186,20,На складе
Машинное обучение,Бринк Хенрик и др.,Питер:Библиотека программиста,1593,1991,20,На складе
Среда динамического моделирования технических систем SimInTech,Карташов Борис Александрович и др.,ДМК-Пресс,1142,1427,20,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2765,3456,20,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2074,2592,20,На складе
Софт за 30 дней. Как Scrum делает невозможное возможным,"Сазерленд Джефф, Швабер Кен","Манн, Иванов и Фербер:МИФ. Бизнес",1156,1482,22,На складе
"Delphi 2006. Справочное пособие. Язык Delphi, классы, функции Win32 и .NET.",Архангельский Алексей Яковлевич,Бином:Для программистов и разработчиков,769,961,20,На складе
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2937,3671,20,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1060,1325,20,На складе
Принципы и методы создания надежного программного обеспечения АСУТП. Методическое пособие,Мякишев Дмитрий Владимирович,Инфра-Инженерия,745,931,20,Ограничено
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,459,574,20,Ограничено
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,861,1104,22,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1809,2319,22,На складе
Предметно - ориентированное проектирование. Самое основное,Вернон Вон,Вильямс,2074,2592,20,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1142,1427,20,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,582,728,20,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,903,1129,20,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2121,2651,20,На складе
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1632,2040,20,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,944,1210,22,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,6098,7622,20,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,4840,6050,20,Ограничено
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,422,527,20,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),545,699,22,На складе
Разработка встроенных систем с помощью микроконтроллеров PIC. Принципы и практические примеры (+CD),Уилмсхерст Тим,Корона-Принт,1309,1636,20,Ограничено
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1386,1733,20,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2074,2592,20,На складе
Не заставляйте меня думать,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,690,885,22,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1305,1631,20,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1468,1835,20,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1524,1905,20,На складе
Программирование систем числового программного управления. учебное пособие (+CD),"Сосонкин Владимир Лазаревич, Мартинов Георгий",Логос:Новая университетская библиотека,1006,1258,20,На складе
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,4149,5186,20,На складе
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,662,827,20,На складе
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс: ,3049,3811,20,На складе
"Новые сложные задачи на C++. Серия ""C++ In-Depth""",Саттер Герб,Вильямс,1221,1526,20,На складе
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,3811,4764,20,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,666,854,22,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1223,1529,20,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1142,1427,20,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,742,927,20,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,742,927,20,Ограничено
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,407,509,20,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2074,2592,20,На складе
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1386,1733,20,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,1142,1427,20,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,742,927,20,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,582,728,20,На складе
"Современные микроконтроллеры. Архитектура, программирование, разработка устройств",Магда Юрий Степанович,ДМК-Пресс,662,827,20,На складе
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,582,728,20,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,742,927,20,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,582,728,20,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1305,1631,20,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1632,2040,20,На складе
С для программистов с введением в С11,"Дейтел Харви, Дейтел Пол Дж.",ДМК-Пресс,1223,1529,20,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1305,1631,20,На складе
