Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1223,1529,20,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,662,827,20,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1632,2040,20,На складе
PHP 7,"Котеров Дмитрий Владимирович, Симдянов Игорь Вячеславович",BHV:В подлиннике,1391,1739,20,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1468,1835,20,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,1758,2197,20,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,978,1223,20,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1468,1835,20,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,662,827,20,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1142,1427,20,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1223,1529,20,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов (+CD),Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,542,678,20,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD),Кравченко Алексей Владимирович,Корона-Принт,407,509,20,Ограничено
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1958,2447,20,На складе
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1142,1427,20,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2447,3059,20,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,582,728,20,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1060,1325,20,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1321,1651,20,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1060,1325,20,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,978,1223,20,На складе
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,Типикин А. А.,Солон-пресс,401,501,20,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,1142,1427,20,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,3458,4322,20,На складе
Swift. Карманный справочник. Программирование в среде iOS и ОS X,Грей Энтони,Вильямс,835,1044,20,На складе
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,742,927,20,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1305,1631,20,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,1060,1325,20,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,1142,1427,20,Ограничено
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1142,1427,20,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,1632,2040,20,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1468,1835,20,На складе
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1305,1631,20,На складе
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,1958,2447,20,На складе
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,662,827,20,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,1060,1325,20,На складе
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,1305,1631,20,Ограничено
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1632,2040,20,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,819,1024,20,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1632,2040,20,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,835,1044,20,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1060,1325,20,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,985,1263,22,На складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1632,2040,20,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,819,1024,20,На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,295,369,20,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,1067,1334,20,На складе
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1382,1728,20,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1660,2075,20,На складе
C# 5.0.Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,2286,2858,20,Ограничено
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,835,1044,20,Ограничено
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1382,1728,20,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3049,3811,20,Ограничено
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1382,1728,20,Ограничено
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1107,1384,20,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,762,953,20,На складе
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,Фримен Адам,Вильямс,4574,5717,20,На складе
Swift. Разработка приложений в среде Xcode для iPhone и iPad с использованием iOS SDK,Марк Дэвид и др.,Вильямс,3458,4322,20,Ограничено
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,"Хорстманн Кей С., Корнелл Гари",Вильямс,3049,3811,20,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,297,371,20,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,430,538,20,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2074,2592,20,Ограничено
Расширение библиотеки STL для С++. Наборы и итераторы (+CD),Уилсон Мэтью,BHV,820,1025,20,На складе
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,978,1223,20,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,277,346,20,Ограничено
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,674,842,20,Ограничено
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1538,1922,20,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1709,2136,20,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,902,1127,20,На складе
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1142,1427,20,На складе
Современное логическое программирование на языке Visual Prolog 7.5. Учебник,Марков В. Н.,BHV:Что вам могут не сказать...,862,1078,20,На складе
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1060,1325,20,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,742,927,20,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,501,626,20,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,584,749,22,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,287,359,20,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1909,2386,20,На складе
Язык Swift. Самоучитель,Харазян Айк Арменович,BHV:Самоучитель,362,452,20,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,902,1127,20,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1305,1631,20,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,902,1127,20,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1397,1791,22,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1455,1819,20,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,776,970,20,На складе
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,694,867,20,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2121,2651,20,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,1060,1325,20,На складе
Java EE 7 и сервер приложений GlassFish 4,Хеффельфингер Дэвид,ДМК-Пресс,1142,1427,20,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,810,1013,20,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,978,1223,20,На складе
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1142,1427,20,На складе
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1468,1835,20,На складе
Разработка приложений Java EE 7 в NetBeans 8,Хеффельфингер Дэвид,ДМК-Пресс,1197,1496,20,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,819,1024,20,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,978,1223,20,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2104,2630,20,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1632,2040,20,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1681,2101,20,На складе
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,1060,1325,20,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1305,1631,20,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1060,1325,20,Ограничено
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1468,1835,20,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,978,1223,20,На складе
Elastix - общайтесь свободно!,Юров Владислав,Эком,1138,1423,20,Ограничено
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,614,768,20,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,582,728,20,Ограничено
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,662,827,20,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,1305,1631,20,На складе
Микроконтроллеры AVR семейств Tiny и Mega фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,978,1223,20,На складе
Микроконтроллеры AVR семейства Classic фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,662,827,20,На складе
Микроконтроллеры AVR семейства Mega. Руководство пользователя,Евстифеев А.В.,ДМК-Пресс:Программируемые системы,1142,1427,20,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,978,1223,20,На складе
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,870,1088,20,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4149,5186,20,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,3458,4322,20,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1338,1672,20,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,2765,3456,20,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1397,1791,22,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2610,3263,20,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1632,2040,20,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1632,2040,20,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1749,2186,20,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,902,1127,20,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1468,1835,20,На складе
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер:Библиотека программиста,1046,1307,20,На складе
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер:Библиотека программиста,1672,2090,20,На складе
C++. Практика многопоточного программирования,Уильямс Энтони,Питер:Для профессионалов,2312,2890,20,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер:Бестселлеры O`Reilly,1728,2160,20,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,3458,4322,20,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3458,4322,20,На складе
Программирование логических контроллеров. Учебное пособие,Иванов Виктор Никитович,Солон-пресс:Библиотека студента,1116,1395,20,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1958,2447,20,На складе
Изучаем Arduino. Инструменты и методы технического волшебства,Блум Джереми,BHV,668,835,20,Ограничено
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,583,729,20,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1958,2447,20,На складе
С/С++ Процедурное программирование,Полубенцева М. И.,BHV:Внесерийная,1053,1316,20,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3110,3888,20,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1245,1556,20,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,3108,3885,20,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1288,1610,20,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1452,1862,22,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,835,1044,20,На складе
DevOps для современного предприятия,Херинг Мирко,ДМК-Пресс,1142,1427,20,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1632,2040,20,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1958,2447,20,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1632,2040,20,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2696,3370,20,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1480,1897,22,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1468,1835,20,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1468,1835,20,На складе
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов,Микелуччи Умберто,BHV,851,1064,20,На складе
JavaFX,Прохоренок Николай Анатольевич,BHV:В подлиннике,1331,1664,20,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1597,1996,20,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1327,1659,20,На складе
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1305,1631,20,На складе
JavaScript для профессионалов,Резиг Джон и др.,Диалектика,1382,1728,20,Ограничено
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,2765,3456,20,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,978,1223,20,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1468,1835,20,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1632,2040,20,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1660,2075,20,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2261,2826,20,На складе
Библия C#,Фленов Михаил Евгеньевич,BHV,770,963,20,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1014,1267,20,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2121,2651,20,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,1726,2213,22,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,1258,1572,20,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,988,1235,20,На складе
Знакомство с PyTorch: глубокое обучение при обработке естественного языка,"Макмахан Брайан, Рао Делип",Питер:Бестселлеры O`Reilly,1111,1389,20,На складе
Разработка требований к программному обеспечению,"Вигерс Карл, Битти Джой",BHV,1210,1512,20,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,501,626,20,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1550,1937,20,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),1659,2074,20,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,1784,2230,20,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2447,3059,20,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1493,1866,20,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,1958,2447,20,На складе
Практическая энциклопедия Arduino,"Петин Виктор Александрович, Биняковский Александр Анатольевич",ДМК-Пресс,819,1024,20,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2217,2771,20,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,1726,2158,20,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1701,2126,20,На складе
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,4452,5565,20,На складе
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,1375,1719,20,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,2162,2703,20,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,978,1223,20,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,1632,2040,20,На складе
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1382,1728,20,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",1382,1728,20,На складе
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,1107,1384,20,Ограничено
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,2284,2855,20,На складе
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1386,1733,20,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,1751,2189,20,На складе
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1115,1394,20,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1074,1342,20,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1074,1342,20,На складе
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер:Бестселлеры O`Reilly,976,1220,20,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1632,2040,20,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1031,1322,22,На складе
Python для чайников,Мюллер Джон Пол,"Диалектика:Для ""чайников""",1382,1728,20,На складе
Введение в рекурсивное программирование,Рубио-Санчес Мануэль,ДМК-Пресс,2121,2651,20,На складе
Изучение сложных систем с помощью Python.,Дауни Аллен Б.,ДМК-Пресс,902,1127,20,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1562,1953,20,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1382,1728,20,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,722,925,22,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,2284,2855,20,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1468,1835,20,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3263,4079,20,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,905,1160,22,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1638,2048,20,Ограничено
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1632,2040,20,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2774,3467,20,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,2654,3318,20,Ограничено
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2343,2929,20,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,1193,1491,20,На складе
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,1037,1296,20,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1462,1828,20,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2074,2592,20,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1468,1835,20,На складе
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер:Библиотека программиста,852,1065,20,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,2634,3292,20,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1632,2040,20,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3458,4322,20,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,969,1211,20,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,4840,6050,20,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,5335,6669,20,На складе
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1382,1728,20,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1382,1728,20,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2385,2981,20,На складе
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер:Для профессионалов,1822,2277,20,На складе
